youtube_id,label
-0lqH3xAz6M,snowkiting
-0Y3H5y75t8,windsurfing
-1brKJdL-iM,golf chipping
-1B_EOupmCE,playing poker
-0SoxHZp0SM,snowboarding
-0EXMXaj77A,feeding birds
-0mnCHRQ-Zc,making bed
-1HT31BzADs,pole vault
-0HRnFhCDdc,shaking hands
-01PKgtzCxc,passing American football (not in game)
-00nar1nEPc,playing harmonica
-0gO3FmnKD8,unboxing
-0WBheGENmk,skipping rope
-1GRj5UvVBA,giving or receiving award
-01cbva4erQ,clay pottery making
-1jQapks1hI,peeling potatoes
-07Ke73N4zI,cooking chicken
-0HKFF7F_BY,yawning
-0kVxoFuMGQ,marching
-1IlTIWPNs4,shoveling snow
-0HSpenSJGs,juggling balls
-0_5tJuIrJA,zumba
-1Kv095GbV8,dancing ballet
-1GUNrYsD4Y,canoeing or kayaking
-157wqwwtAo,changing oil
-0MsYnGUrfE,playing paintball
-0S06ntmN_I,stretching arm
-0H3T2B9PH4,pushing wheelchair
-00fzD4K6aw,somersaulting
-02uQdK46rE,shaving legs
-0R6wpipD-c,eating spaghetti
-0MLLn0Zg1M,sailing
-1KMJ1BZ2mU,climbing ladder
-0yuyrbruYM,flying kite
-0aDlftNdyw,eating watermelon
-1lbeA9Jogw,smoking hookah
-1Fa5I5O_40,climbing a rope
-05APhKiIXc,golf chipping
-0M6S1qBn8s,changing oil
-0MVWb7nJLY,trapezing
-08KE5FkRUU,hurling (sport)
-0JU38ZQOlY,canoeing or kayaking
-0WL_HWewTE,getting a haircut
-0-ukHRelxA,petting animal (not cat)
-1dWGnhjB2A,headbanging
-0Yb1tD3HUo,golf putting
-1IqhhJEfTI,snowkiting
-0LoCy0-F9A,hula hooping
-0cOo0cRVZU,shooting basketball
-0oMsq-9b6c,sanding floor
